fr,dje
Ta voiture est derrière la maison,Ni mota go windo banda
Il a suivi le voleur,A na zayo gana
Les enfants sont nus,Zankey go koonu
force le,ni ma a taanu
"Bonjour, comment allez-vous aujourd'hui?","Fofo, mate no go hõ?"
Je m'appelle Ahmed et je suis enseignant.,Ay maa ti Ahmed ay go cawandi.
Le soleil se lève à l'est et se couche à l'ouest.,Wayna ga tun dandi nda ga kaŋ banandi.
J'ai mangé du riz avec de la sauce hier soir.,Ay na cerow nda ham ŋwa bi wicira.
Le Niger est un pays d'Afrique de l'Ouest.,Niger ti laabo fo Afrik waynakaŋay ra.
Il pleut beaucoup pendant la saison des pluies.,Hari ga kaŋ boobo hari jiiri waate.
Je vais au marché pour acheter des légumes.,Ay ga koy habu ra ka dumi-dumiyaŋ day.
Ma mère prépare un délicieux repas pour la famille.,Ay nya ga ŋwaari kaano hina iri windi se.
Les enfants jouent au football dans la cour de l'école.,Zankey ga bal cebe lakol batama ra.
La rivière coule du nord au sud.,Isa ga zuru ka fun hawsa ka koy gurma.
Ce livre est très intéressant et instructif.,Tira woo ga boori gumo nda ga cawandi.
Nous cultivons du mil et du sorgho dans notre champ.,Iri ga haabu nda baseyna beeri ir fari ra.
Mon frère est médecin à l'hôpital central.,Ay nya-izo ti loktor lopital beero ra.
La température est très élevée pendant la saison sèche.,Konno ga bisa jiiri koga waate.
Les femmes vont chercher de l'eau au puits.,Wayborey ga koy hari zaa day-hari guusu do.
Le vieux sage raconte des histoires aux enfants.,Aru doonko ga fillayaŋ deede zankey se.
Les étoiles brillent dans le ciel nocturne.,Handariyayzey ga nyariy beene ra cin ra.
Nous célébrons la fête de Tabaski chaque année.,Iri ga Tabaski batu jiiri kul.
L'arbre à karité donne des fruits délicieux.,Bulanga tuuri ga ize kaano hay.
Les chèvres et les moutons paissent dans la savane.,Hincin nda feejiyaŋ ga subu ŋwa saaji ra.
Je vais à l'école pour apprendre à lire et à écrire.,Ay ga koy lakol ka caw nda hantum dondon.
Le chef du village a convoqué une réunion importante.,Koyo na marga beeri ce.
Ma grand-mère connaît beaucoup de remèdes traditionnels.,Ay kaaya wande ga laakal safaari boobo bay.
Nous préparons le champ avant la saison des pluies.,Iri ga fari soolu za hari jiiri mana kaa.
Le miel est récolté dans la forêt par les apiculteurs.,Yuu-goykey ga yuu zaa saaji ra.
Le tailleur a cousu une belle tenue pour la fête.,Zaarkey na darbay hanno teji batu se.
Les nuages sombres annoncent l'arrivée de la pluie.,Buru bibi yaŋ ga cebe kaŋ hari ga timbi ka kaŋ.
Je vais au dispensaire pour consulter l'infirmier.,Ay ga koy lokotorhongu ra ka loktor kayna kubay.
Les pêcheurs lancent leurs filets dans le fleuve.,Ham-di-key ga ngi moley catu isa ra.
Nous mangeons du tô avec de la sauce baobab.,Iri ga koyra ŋwa nda ko ham.
Le chameau peut voyager longtemps sans boire d'eau.,Yo ga hin ka dira waati kuuku bila nda a ma hari haŋ.
La lune éclaire le village pendant la nuit.,Handu ga koyra kulu kaarandi cin ra.
Les oiseaux construisent leurs nids dans les arbres.,Curayzey ga ngi fitilawey cin tuurey boŋ.
Le forgeron fabrique des outils en fer pour les agriculteurs.,Guuru-goy-koy ga guuru jinay tee beeri-key se.
Nous dansons et chantons pour célébrer la récolte.,Iri ga gan nda doon ka hegay batu.
Les femmes pilent le mil pour préparer la farine.,Wayborey ga haabu yobu ka hamni soolu.
Le griot raconte l'histoire de nos ancêtres.,Gesere ga iri kaay-izey taariki deede.
Je traverse le pont pour aller au village voisin.,Ay ga bisa daba boŋ ka koy koyraa jere fa.
L'instituteur enseigne la lecture aux élèves.,Cawandi-koy ga caw dondonandi caw-jinakey se.
Le tisserand fabrique de beaux pagnes traditionnels.,Sanaa-tajikoyni ga darbay hano tajey laala alaada boŋ.
Les termites construisent de grandes termitières.,Kontom yaŋ ga kontom fu beerey cin.
La calebasse sert à puiser et à conserver l'eau.,Gaasu ga goy hari zaa nda jisi do.
Le boucher vend de la viande au marché central.,Ham neereikoy ga ham neerandi habu beero ra.
